ID, Question, Choice_A, Choice_B, Choice_C, Choice_D, Choice_E, Correct_Answer
470,One of the major reasons for the development of political parties in the 1790s was that,(A) Jefferson and Madison had developed a personal dislike for one another.,(B) support for the French Revolution eroded Washington’s power.,(C) the Alien and Sedition Acts had reduced the number of immigrants entering the United States.,(D) differences had developed concerning the interpretation of the Constitution.,(E) The Articles of Confederation had created a weak central government.,D
471,Key components of Henry Clay’s American system included,(A) a strict interpretation of the Constitution and rapid western expansion.,(B) high protective tariffs and internal improvements.,(C) the development of Southern industry and Northern agriculture.,(D) the elimination of export taxes and of the slave trade.,(E) government ownership of railroads and canals.,B
472,Scalawag was a derogatory term used by,(A) abolitionists to describe slave catchers in the 1850s.,(B) whites in the South to describe other Southerners who cooperated with Reconstruction.,(C) Republicans to describe Federalists who cooperated with the British during the War of 1812.,(D) Westerners to describe white settlers who argued for fair treatment of Native Americans in the 1870s.,(E) union members to describe workers who crossed a picket line during the labor conflicts of the Gilded Age.,B
473,José Marti and Emilio Aguinaldo are similar in that both,(A) fought against U.S. forces in their respective countries.,(B) served as governors of U.S. protectorates.,(C) led nationalist movements in their respective countries.,(D) signed treaties allowing the United States to have a military presence in their respective countries.,(E) were leaders of the Organization of American States.,C
474,"In the 1908 Muller v. Oregon decision, the Supreme Court",(A) upheld the use of the Sherman Antitrust Act to break up trusts.,(B) forbade states from regulating railroad rates for routes between states.,(C) held that worker-protection laws do not violate the constitutional rights of employers.,"(D) upheld segregation laws, if both sets of facilities are equal to one another.",(E) ruled that the government has the right to limit speech if a clear and present danger exists.,C
475,The passage of the Emergency Quota Act in 1921 and the movement to prevent the teaching of evolution in public schools in the 1920s could best be seen as,(A) conservative responses to social change.,(B) Marxist responses to economic dislocation.,(C) liberal responses to the rise of the Ku Klux Klan.,(D) Democratic responses to the success of the Republican Party.,(E) feminist responses to Victorian morality.,A
476,"As the Civil Rights Movement shifted its focus to the North and issues of de facto segregation, which of the following became a central issue?",(A) Separate lunch counters for African Americans and whites,(B) Segregation in department store fitting rooms,(C) Blacks and whites living in separate neighborhoods,(D) Discrimination in waiting rooms in interstate bus stations,(E) Requiring blacks and whites to use separate water fountains,C
477,The Supreme Court decisions Gideon v. Wainwright and Miranda v. Arizona are significant in that they,(A) expanded the rights of people accused of crimes.,(B) made participation in the political system easier for African Americans.,(C) strengthened the separation of church and state.,(D) established the principle of equal pay for equal work.,(E) ensured free speech during wartime.,A
478,President Jimmy Carter broke from previous U.S. administrations in foreign policy by,(A) promising to “walk softly and carry a big stick” in his dealings with Latin American nations.,(B) vowing to halt communist expansion in Asia.,(C) pursuing a policy of détente with the Soviet Union.,(D) linking U.S. aid to foreign nations to improvements in human rights.,(E) signing a new treaty with Panama extending U.S. control of the Canal Zone.,D
479,All of the following were initiatives of Clinton administration except the,"(A) Brady Gun Control Bill, which regulated handgun ownership.","(B) Personal Responsibility and Work Opportunity Act, which reformed the welfare system.",(C) Camp David Accords for peace between Israel and Egypt.,"(D) commitment of 20,000 troops to Haiti to support President Bertrande Aristide.",(E) Dayton Accords for a peace settlement in Serbia.,C
480,"Roger Williams, the founder of the colony of Rhode Island, supported the idea that",(A) civil authority should be separated from church authority.,(B) church leaders should be the leaders of the colonies.,(C) the Native American population should be resettled to the West.,(D) the theocracy that existed in Massachusetts Bay should be extended to other colonies.,(E) women should enjoy equal rights with men.,A
481,President Andrew Jackson vetoed the Bank Recharter Bill because he,(A) was a Democrat and it was a Whig measure.,(B) disagreed with the Supreme Court decision in Marbury v. Madison.,(C) believed that paper money was the most important element for economic success.,"(D) was opposed to the bank’s monopolistic power, calling it a “monster.”",(E) believed it was too late to bring up the question.,D
482,"“The government, Sir, is the independent offspring of the popular will. It is not the creature of the state legislatures; nay more, if the whole truth must be told, the people brought it into existence, established it, and have hitherto supported it for the very purpose, amongst others, of imposing certain salutary restraints on state sovereignties .... The people, then, Sir, erected this government. They gave it a constitution, and in the constitution they have enumerated powers which they bestow on it.” From Daniel Webster’s “Second Reply to Hayne” What argument was Daniel Webster responding to in the above passage?",(A) The theory that the people were the source of power in the Constitution,(B) The theory that the tariff was unconstitutional,(C) The Compact Theory that the states were sovereign,(D) The Theory of Perpetual Union that the union had existed before the Constitution,(E) The theory that sovereignty rests in the general government,C
